Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2017-11-01,34.594,9.0796,15.2785,18.3248,19.1308,13.6214,25.7814,26.8047,24.1766,55.4147,21.2362,17.4027,30.6919,176.8254,23.9794,,11.5627,12.4297,39.144,23.5381,19.9638,31.6173,35.4974,71.197,9.1365,12.5318,21.1746,16.688,,,26.9807,15.4225,13.1587,50.4673,279.5071,42.8723,41.2278,33.7164,29.2718,,25.3643,27.5629,17.9403,120.753,24.0914,41.2587,37.5671,49.0272,22.8878,30.5593
2017-11-02,34.6499,8.9885,15.4563,18.4588,18.8369,13.0187,25.958,26.1281,24.256,56.8892,21.1895,17.2056,30.41,176.8254,24.1812,,11.8033,12.4474,39.144,23.3148,20.0517,31.3773,34.1456,70.7485,8.8407,13.0105,21.0466,16.8527,,,27.434,15.1579,13.4246,51.0515,277.1114,39.3753,45.2047,32.8006,29.35,,25.2834,27.7913,17.9277,120.1261,23.9668,41.3344,36.9423,49.0669,23.1893,31.3442
2017-11-03,34.772,9.0055,15.4771,18.9408,19.1039,13.2978,26.4832,25.887,24.3592,57.3168,21.4276,17.0428,29.8515,176.8254,24.1307,,11.4752,12.3839,39.144,23.2985,19.9921,31.8093,34.9263,73.1364,8.8407,13.0092,20.9929,16.9396,,,27.1452,15.2484,13.3435,50.9296,281.5129,43.7916,45.3324,32.725,29.0862,,25.258,27.7088,17.4908,120.8398,24.2632,39.9135,37.2742,51.7387,23.1145,31.1024
2017-11-06,34.6957,9.0169,15.2709,19.133,19.2384,13.3085,26.2636,26.1746,24.3406,56.8452,21.5373,16.8243,29.6095,176.8254,24.1036,,11.322,12.4709,39.144,23.0961,20.1333,32.2474,35.4076,74.0909,8.881,13.1754,21.2668,16.8737,,,27.5022,15.0163,13.4321,53.8184,283.8073,44.9196,45.9709,33.0885,29.1497,,25.1866,27.6803,17.5594,121.1966,24.3324,38.442,37.565,52.4742,22.8963,31.0499
2017-11-07,34.711,8.8176,15.0193,19.1944,19.4454,13.3174,26.3352,26.1883,24.2679,56.8704,21.4486,16.94,29.9871,176.8254,24.3946,,11.497,12.3589,39.144,23.0449,19.9983,32.2594,35.6969,74.6848,8.6393,13.1874,21.3794,16.9156,,,27.5062,15.2519,13.3134,53.9976,284.443,45.5456,46.1928,33.0956,29.0667,,25.3405,27.7215,17.5576,121.5727,24.5346,38.4988,37.6408,51.3019,22.8899,31.5369
2017-11-08,34.6398,8.8006,15.0249,19.3515,19.8076,13.3352,26.3782,26.1473,24.5029,57.8702,21.4719,17.0514,29.9446,176.8254,24.3131,,11.497,12.3854,39.144,22.889,19.9418,32.2594,36.0585,76.5879,8.6226,13.1754,21.3538,17.0504,,,27.3016,15.2607,13.377,54.7359,286.902,46.5518,46.056,33.2514,29.1009,,25.5261,27.8389,17.3933,121.7367,24.7202,40.7661,38.241,51.5061,23.0417,31.621
2017-11-09,34.3143,8.6867,15.2217,19.3119,19.8448,13.3814,26.4737,26.2733,24.3237,57.1974,20.9351,16.9657,29.7797,176.8254,24.3752,,11.2673,12.3987,39.144,22.9658,19.9795,32.3134,35.1258,75.6455,8.6643,13.1568,21.0083,16.6191,,,27.2856,15.2976,13.2984,54.4134,285.9523,46.4127,45.7489,33.8628,28.6612,,25.4642,27.5153,17.2543,121.6113,24.8726,39.9829,38.4008,50.2279,22.6162,31.2951
2017-11-10,33.9786,8.6962,15.3674,19.1791,19.7496,13.3334,26.1633,26.1199,24.3338,57.1345,20.9095,17.1071,29.5457,176.8254,24.2432,,11.1907,12.3043,39.144,22.8355,20.1145,32.5594,35.0709,75.5939,8.6699,13.1794,21.277,16.8827,,,27.3738,15.1526,13.1453,53.9546,284.9951,48.0428,45.6912,33.8132,28.6075,,25.4245,27.988,17.202,122.1321,24.6981,39.7872,38.3373,50.0993,22.4943,31.0954
2017-11-13,34.1413,8.681,15.568,19.1022,19.6855,13.4045,26.402,26.2157,24.3389,57.1754,21.0121,17.0257,29.6627,176.8254,24.5963,,11.8361,12.4459,39.144,22.9635,20.0705,32.1153,35.7568,76.8879,8.5726,13.2219,21.4843,17.0834,,,27.6386,15.0778,13.1537,53.7754,285.9625,48.9339,45.8705,33.4922,28.7833,,25.8147,28.0737,17.2525,122.1032,24.8033,40.1787,38.5319,50.1088,23.0824,31.3687
2017-11-14,34.3092,8.6943,18.1109,18.8134,19.6089,13.4045,26.2636,26.1774,24.5148,57.0087,21.1078,17.0471,29.809,176.8254,25.0426,,11.858,12.4267,39.144,22.9984,20.4346,32.2534,34.3302,76.9758,8.5671,13.2884,21.2181,16.9007,,,27.8793,14.9574,13.1362,53.5783,287.9049,49.3577,45.4327,33.8817,28.7345,,25.718,28.2323,18.1046,121.7849,25.0803,40.4377,38.409,49.7779,23.1316,31.7857
