Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2020-11-03,107.03,11.25,157.43,110.44,87.96,102.15,109.56,31.91,225.71,454.02,119.75,47.9,166.48,248.31,84.32,90.89,20.27,36.24,32.89,126.31,107.99,95.67,97.62,465.01,38.56,92.92,104.08,61.83,11.14,76.58,105.29,220.06,167.45,234.23,152.421,62.3725,315.91,179.96,53.3,8.73,289.04,58.25,101.79,155.75,97.63,76.26,151.15,353.76,145.21,157.1
2020-11-04,108.49,11.005,155.53,114.95,94.5,104.99,111.53,31.98,227.92,487.23,125.94,46.51,164.58,245.89,83.45,90.15,19.94,36.53,31.59,125.89,111.75,99.34,93.43,483.46,37.8,92.04,101.55,64.86,11.09,81.35,105.39,230.33,168.4,237.07,162.058,63.61,329.25,183.48,52.42,8.99,289.29,57.96,99.25,158.64,95.59,79.37,148.33,364.63,143.38,155.41
2020-11-05,110.34,11.6,156.43,119.03,93.69,105.42,113.53,31.91,233.99,496.47,130.4,47.91,162.71,255.92,82.47,90.71,20.97,37.2,33.43,127.36,109.77,102.71,105.5,491.91,39.18,90.41,104.13,69.95,11.51,83.0,109.05,231.97,172.69,239.92,166.1,64.25,328.35,185.38,53.82,8.97,303.34,59.73,104.78,158.39,95.02,80.14,148.24,380.87,147.04,158.21
2020-11-06,112.54,11.46,156.38,118.69,92.85,103.95,114.42,31.55,236.29,494.63,133.5,48.27,166.23,259.41,81.85,90.92,20.41,36.9,33.16,127.09,110.51,101.63,112.22,477.85,38.26,91.15,102.83,70.53,11.52,85.88,110.32,231.67,169.78,242.15,165.569,65.75,336.8,190.35,54.56,8.535,306.72,60.17,104.48,157.12,93.64,78.81,147.95,380.62,148.26,161.13
2020-11-09,112.5,13.2,156.63,116.32,95.12,106.26,109.39,34.44,240.22,471.14,135.82,49.29,169.89,262.61,83.04,90.26,20.97,41.49,37.52,131.8,109.98,99.27,116.73,476.99,45.91,93.89,111.87,71.3,12.04,83.12,114.07,235.0,182.94,237.98,157.187,65.42,328.47,192.91,53.13,9.75,312.67,60.795,106.69,154.07,97.79,75.41,164.69,375.54,152.35,162.33
2020-11-10,110.2,12.38,155.42,115.97,98.87,110.08,110.81,35.22,238.71,452.0,134.78,50.15,171.07,247.22,82.46,90.79,20.82,41.85,38.23,134.16,113.64,96.68,117.93,464.32,45.52,94.44,115.15,69.39,11.86,77.99,116.45,241.6,183.17,232.38,151.751,64.35,319.43,200.08,54.75,9.99,309.97,60.925,108.84,161.76,102.45,75.12,171.79,363.13,150.7,163.51
2020-11-11,109.41,12.04,156.52,119.49,98.15,107.33,112.65,34.73,242.75,467.75,137.38,50.09,171.87,246.79,82.37,91.15,21.29,40.88,37.35,131.59,114.17,97.2,118.57,461.78,44.34,94.37,112.36,71.16,11.93,81.28,116.76,240.69,181.3,238.45,156.87,66.3025,328.96,201.42,54.82,9.95,280.84,62.14,111.03,162.75,100.74,76.55,168.82,375.92,151.78,164.37
2020-11-12,109.44,11.74,153.06,119.21,97.6,106.1,111.95,33.73,238.15,462.58,135.48,49.33,169.43,245.71,81.34,89.635,20.54,40.31,36.06,130.82,113.15,98.23,118.64,452.76,42.41,94.81,110.15,69.8,11.55,81.84,115.45,237.14,177.3,238.01,155.514,66.7725,323.64,199.96,54.09,9.7,265.31,60.105,108.82,161.37,98.72,76.71,166.5,370.2,147.62,161.41
2020-11-13,110.17,12.24,154.0,119.26,99.04,108.12,112.6,34.15,241.78,469.34,136.27,49.86,171.63,251.0,82.12,89.87,20.87,41.52,37.32,133.51,115.71,101.53,122.48,457.26,44.66,96.71,114.0,72.81,11.79,81.43,117.27,237.36,184.88,243.09,156.441,68.465,328.21,204.44,55.07,10.32,263.87,61.7,109.91,164.37,102.16,77.55,169.34,373.5,149.58,161.31
2020-11-16,110.27,12.79,151.06,120.3,98.36,109.01,113.67,35.3,244.95,460.95,138.01,50.41,177.05,248.79,84.33,89.21,21.33,43.23,38.49,137.11,117.43,101.68,128.92,457.17,47.16,98.06,118.26,74.48,12.15,83.73,120.08,236.66,185.97,239.09,156.553,68.315,322.67,208.03,56.4,11.14,266.44,63.14,114.47,165.33,101.28,77.44,173.35,380.81,152.6,165.55
