Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2019-08-01,4.5138,6.3781,2.9284,9.7918,41.2792,6.392,4.8014,1.4749,9.015,14.6121,3.6043,1.2114,13.2112,236.1145,2.4179,,3.5797,1.3715,0.7432,1.2567,3.4314,4.2951,1.9403,11.7645,1.9601,1.5395,14.4995,5.5183,3.0466,17.0584,4.3215,10.3753,3.0604,17.0744,17.2731,8.2516,6.002,11.6726,4.1637,,4.3809,6.5315,6.1788,2.1339,2.3053,3.2135,2.6391,5.1349,8.8009,3.5075
2019-08-02,4.4401,6.3781,2.8469,9.5846,41.2792,6.3042,4.7869,1.4814,8.9616,14.3806,3.5304,1.1796,13.2088,236.1145,2.3895,,3.4825,1.3773,0.738,1.2492,3.4356,4.2098,1.9149,11.5918,1.9642,1.5341,14.4075,5.4135,3.0553,16.8184,4.2324,10.4433,2.9459,17.4023,16.9744,7.3998,5.8272,11.7383,4.1685,,4.3126,6.4085,6.1507,2.124,2.2967,3.1386,2.6731,5.1553,8.789,3.5156
2019-08-05,4.2954,6.3781,2.7958,9.0829,41.2792,6.1829,4.6385,1.4446,8.6152,13.7269,3.3722,1.1122,12.8453,236.1145,2.3678,,3.3769,1.3466,0.7174,1.2161,3.2972,4.0043,1.8237,10.9517,1.9098,1.494,14.1033,5.1756,2.9857,15.9901,4.114,10.1242,2.8403,17.2755,16.4334,7.0006,5.6721,11.2597,4.1599,,4.2588,6.2014,5.9837,2.0918,2.2403,2.9516,2.6063,4.9541,8.5884,3.4584
2019-08-06,4.4128,6.3781,2.8442,9.2548,41.2792,5.863,4.7334,1.4871,8.7666,14.0133,3.4239,1.1016,13.138,236.1145,2.3662,,3.2486,1.3642,0.7387,1.2329,3.3777,4.0954,1.8248,10.9558,1.9393,1.5247,14.1245,5.2746,2.9683,16.4871,4.1953,10.2894,2.9017,17.5218,16.6448,7.1482,5.9164,11.514,4.279,,4.2851,6.2776,6.147,2.1154,2.2699,2.983,2.6384,4.9316,8.7248,3.5195
2019-08-07,4.433,6.3781,2.813,9.3507,41.2792,5.9842,4.7189,1.502,8.7694,14.1509,3.4408,1.0975,13.2249,236.1145,2.3731,,3.2424,1.3663,0.7391,1.3258,3.3689,4.133,1.8845,10.6918,1.9592,1.5168,13.9123,5.3145,3.0234,16.6756,4.1718,10.238,2.8534,17.5606,16.6966,7.1233,6.0223,11.4514,4.3276,,4.3248,6.3143,6.1706,2.1166,2.2611,3.0797,2.6537,4.9984,8.8001,3.5504
2019-08-08,4.5321,6.3781,2.8206,9.5569,41.2792,6.1264,4.7724,1.5097,9.0159,14.5798,3.5195,1.1275,13.6952,236.1145,2.4078,,3.2797,1.3865,0.7718,1.3434,3.4402,4.2379,2.049,10.9465,2.0033,1.5457,14.0283,5.4488,3.0756,19.3778,4.2535,10.3323,2.9381,17.8505,17.0643,7.1079,6.3039,11.656,4.3753,,4.4121,6.3833,6.314,2.1472,2.2925,3.1584,2.683,5.0156,9.0902,3.5792
2019-08-09,4.4767,6.3781,2.8186,9.4423,41.2792,6.0958,4.8315,1.507,8.8905,14.4354,3.4671,1.1292,13.487,236.1145,2.4195,,3.2217,1.3865,0.7642,1.3477,3.4486,4.286,1.9587,10.6587,1.9846,1.5279,13.9689,5.368,3.035,19.532,4.1752,10.947,2.8702,17.9482,16.8286,6.9333,6.2126,11.6394,4.339,,4.4487,6.2517,6.1721,2.1306,2.2743,3.0771,2.6763,5.1035,8.9776,3.6133
2019-08-12,4.3456,6.3781,2.7762,9.4183,41.2792,6.0909,4.7222,1.4921,8.8218,14.1328,3.4139,1.101,13.3374,236.1145,2.4179,,3.1535,1.3718,0.7482,1.3581,3.3842,4.2522,1.8786,10.4465,1.9281,1.5097,13.7241,5.2894,2.977,18.5266,4.161,11.4786,2.7321,17.9474,16.6177,6.8042,6.1759,11.444,4.3362,,4.3956,6.1913,6.0997,2.0944,2.2818,3.0144,2.6705,5.1018,8.8881,3.6721
2019-08-13,4.4114,6.3781,2.7776,9.8172,41.2792,6.2219,4.8466,1.5097,8.9556,14.3541,3.5411,1.1116,13.5658,236.1145,2.4138,,3.139,1.3875,0.7623,1.378,3.4334,4.2598,1.9085,10.5814,1.899,1.5331,13.7892,5.4716,3.0234,18.3437,4.2124,11.4976,2.8027,17.857,16.9847,6.9966,6.3662,11.7346,4.3429,,4.4448,6.3308,6.1736,2.1151,2.2854,3.0816,2.6528,5.251,8.9364,3.6517
2019-08-14,4.2777,6.3781,2.6655,9.525,41.2792,6.0184,4.682,1.4664,8.6811,13.8885,3.4562,1.0824,13.1742,236.1145,2.3741,,3.0603,1.3445,0.7252,1.3542,3.3533,4.0077,1.7925,10.1331,1.8387,1.4927,13.311,5.3179,2.8842,17.2755,4.0773,11.0932,2.665,17.6777,16.4132,6.6514,6.1169,11.4999,4.2742,,4.3078,6.1337,5.8751,2.099,2.2688,2.8978,2.6189,5.0263,8.7121,3.6328
