Dates,A UN Equity,AAL UW Equity,AAP UN Equity,AAPL UW Equity,ABBV UN Equity,ABC UN Equity,ABT UN Equity,ACGL UW Equity,ACN UN Equity,ADBE UW Equity,ADI UW Equity,ADM UN Equity,ADP UW Equity,ADSK UW Equity,AEE UN Equity,AEP UW Equity,AES UN Equity,AFL UN Equity,AIG UN Equity,AIZ UN Equity,AJG UN Equity,AKAM UW Equity,ALB UN Equity,ALGN UW Equity,ALK UN Equity,ALL UN Equity,ALLE UN Equity,AMAT UW Equity,AMCR UN Equity,AMD UW Equity,AME UN Equity,AMGN UW Equity,AMP UN Equity,AMT UN Equity,AMZN UW Equity,ANET UN Equity,ANSS UW Equity,AON UN Equity,AOS UN Equity,APA UW Equity,APD UN Equity,APH UN Equity,APTV UN Equity,ARE UN Equity,ATO UN Equity,ATVI UW Equity,AVB UN Equity,AVGO UW Equity,AVY UN Equity,AWK UN Equity
2017-12-01,22118.18,23446.4546,7336.5977,878224.0676,153768.1126,18526.0702,97438.8265,12414.7099,94108.9969,88493.1299,31481.4963,22834.1775,50446.9568,23466.7221,15467.9684,,7046.3247,34439.9067,53829.6871,5368.794,12035.7894,9436.9755,14602.0003,20370.7493,8232.9341,37116.0,8038.7065,55361.3487,,10352.289,16661.2393,128631.3539,24034.1889,61588.0642,560104.1226,16714.4623,12435.4537,35545.4506,10798.8936,,35337.4694,27419.4508,27517.0771,12317.927,10230.2434,46847.9222,25039.4727,110790.8734,9915.5361,16271.404
2017-12-04,21329.28,23891.4587,7686.8744,871806.1776,152012.0398,19064.7329,95228.2636,12253.7349,94481.4007,83031.3213,31256.6285,23041.1,50917.0559,23661.8032,15307.8294,,7112.3633,34652.2075,53272.3323,5370.4084,12037.5974,9546.9241,14292.6125,18104.1256,8401.5056,37303.2,7929.4075,53079.0662,,9676.93,16591.9041,129712.9606,24489.8133,59598.1706,546418.9528,15313.1229,12051.0358,34903.2134,10694.0166,,35503.6194,27010.2964,27727.0905,12350.4711,10170.3525,44307.4281,25010.4743,107547.4375,9861.8339,16289.2415
2017-12-05,21197.26,23671.3491,7474.787,870984.6877,152315.3615,18731.0674,95367.5116,12133.3308,94815.2799,82587.6726,31271.3739,22839.77,51302.892,23478.2406,15159.8222,,7079.344,34534.2626,53515.0514,5284.3096,11900.1902,9546.9241,14142.3384,18229.2028,8379.3575,37022.4,7793.4965,53409.6772,,9561.1542,16420.8774,129698.4424,24313.7766,60365.8235,550090.8188,15427.8909,12172.3862,34795.7574,10587.4203,,35411.7997,26924.8015,23598.5985,12062.3604,10142.6253,45025.7225,24691.4913,106747.798,9966.5972,16171.5138
2017-12-06,21216.58,23738.339,7205.0592,867750.0711,150702.9675,18752.8756,95141.2336,12152.9619,95200.5252,85535.4718,31485.1827,23052.285,51409.3295,23550.9286,15215.6282,,7151.9865,34443.8382,53964.531,5274.6235,11901.9982,9433.5924,14085.9856,18682.2068,8346.1354,36954.0,7773.5375,54401.5103,,9647.986,16418.5662,127919.9615,24374.4279,60811.8341,555285.4009,15560.2031,12281.0077,34763.2707,10556.473,,35070.7551,26802.6658,22692.0848,12141.8062,10140.4071,45933.0419,24770.2014,107661.6717,9816.9354,16221.4589
2017-12-07,21480.62,24346.0328,7213.188,869341.7078,150447.5387,18739.7906,95193.4516,12020.7791,95412.4101,86072.7797,31743.2277,23102.6175,51391.5899,24143.4464,15205.9228,,7066.1363,34573.5776,53533.0305,5304.7581,11800.7507,9546.9241,14262.7786,19353.2942,8535.6245,36759.6,7898.9938,55777.2787,,9686.578,16501.7684,126279.4036,24793.0698,61802.4923,558870.5298,16071.9076,12415.9358,34600.8372,10589.1396,,35193.1813,26912.5879,22431.5618,12268.1538,10154.8253,46553.0434,24850.2924,107661.6717,9890.8859,16246.4314
2017-12-08,21696.36,24413.0227,7412.7127,869598.4234,153177.4336,18907.7138,95106.4215,12041.7189,96651.6157,85560.1189,31525.7326,23214.4675,51453.6785,23603.7926,15332.0929,,7105.7595,34660.0705,53497.0722,5334.3545,11876.6863,9557.0732,14430.732,19116.77,8581.1511,36900.0,7837.2161,54849.4349,,9590.0981,16580.3483,127331.974,25127.3917,61099.1679,559935.4674,16286.0925,12400.6609,34608.3341,10697.4552,,35180.0642,27278.9948,22654.8672,12443.3174,10181.4434,47203.289,25162.3709,106037.9139,10012.3761,16324.9166
2017-12-11,21574.0,24547.0024,7452.6176,886541.653,154007.577,18922.9796,95628.6017,12115.0084,96754.3478,85924.8968,31628.9506,23432.575,52251.96,23531.1046,15446.1312,,7171.7981,34785.8784,53748.7808,5374.7133,11838.7185,9565.5308,14490.3997,18734.3223,8578.6902,36853.2,7809.6537,55052.0675,,9802.3538,16619.6382,128362.767,24819.6972,61776.761,563270.0228,16351.8831,12422.7246,34560.8536,10549.5958,,35661.0246,27248.4609,22832.9799,12461.5038,10193.6434,47762.8026,25243.8428,106054.2331,10122.4216,16455.1307
2017-12-12,21593.32,24149.8482,7613.7154,881561.3704,153736.184,19151.9657,96951.4583,12073.1287,97659.6741,85052.3876,31510.9872,23359.8725,51910.4729,23420.9712,14888.0712,,7079.344,34895.9603,53874.6351,5397.3142,11713.9672,9645.0321,14404.2131,18791.2485,8588.5338,37274.4,7807.7529,53825.6072,,9551.5062,16670.484,127948.9979,24940.9999,61545.1785,561419.6336,15954.2156,12332.7725,34610.8331,10498.0169,,35610.7424,27379.7567,22774.4952,12577.3223,9901.9528,48692.8049,25358.4557,105544.2589,10076.6427,15932.4907
2017-12-13,21470.96,23968.0186,7574.5494,884487.9282,155412.4352,19295.8999,95837.4738,11844.0992,97223.0628,87167.1132,31400.3964,22397.9625,51897.1682,23352.6885,14861.3814,,7033.1169,34789.8099,53011.6341,5317.6729,11609.1038,9584.1375,14375.4842,18892.2724,8492.5588,37195.2,7854.3238,54134.8885,,9754.1139,16573.4148,128762.0178,24618.5124,61639.5269,560961.8551,16457.148,12284.4021,34126.0316,10482.5433,,35555.6042,27327.8491,22213.5732,12554.3501,9977.3709,48844.0248,25174.7989,106902.8301,10068.7194,16041.2997
2017-12-14,21416.22,24025.4385,7404.5839,884231.2126,153736.184,19476.908,95263.0756,11752.4874,97088.227,86265.0275,31496.2417,22129.5225,51648.814,23403.3498,14759.4748,,7019.9092,34762.2894,52238.529,5262.2468,11515.0883,9601.0526,14097.0352,18745.5472,8538.0854,36954.0,7763.0828,54721.4564,,9773.4098,16400.0769,126976.2778,24475.0203,61600.9298,565843.2202,16573.378,12263.187,34131.0295,10322.6488,,35126.7225,27245.4075,22077.9949,12624.2241,9917.4801,49169.1476,25183.0841,105805.3657,10060.7961,16116.2174
